,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
3205,flat,m3m merlin,sector 67,2.98,14558.0,2047.0,Super Built up area 2047(190.17 sq.m.),3.0,3.0,3,0.0,North,Relatively New,2047.0,,,0.0,0.0,0.0,0.0,1.0,1.0,49.0,682.3333333333334
3206,flat,m3m skycity,sector 65,2.1,16031.0,1310.0,Super Built up area 1310(121.7 sq.m.),2.0,2.0,2,43.0,,New Property,1310.0,,,0.0,0.0,0.0,0.0,0.0,0.0,127.0,655.0
3207,flat,vatika gurgaon,sector 83,1.08,6225.0,1735.0,Super Built up area 1735(161.19 sq.m.),3.0,3.0,2,11.0,North-East,Relatively New,1735.0,,,0.0,0.0,0.0,0.0,1.0,0.0,19.0,578.3333333333334
3208,flat,mvn athens,sohna road,0.27,5895.0,458.0,Carpet area: 457.52 (42.5 sq.m.),2.0,2.0,1,0.0,,Relatively New,,,457.46575,0.0,0.0,0.0,0.0,0.0,1.0,69.0,229.0
3209,flat,vatika sovereign next,sector 82a,3.85,7500.0,5133.0,Carpet area: 5140 (477.52 sq.m.),5.0,6.0,3+,6.0,,New Property,,,5140.0,0.0,1.0,0.0,1.0,0.0,0.0,148.0,1026.6
3210,flat,ambience creacions,sector 22,2.4,17391.0,1380.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2.0,2,8.0,South-East,Relatively New,1380.0,1200.0,900.0,0.0,0.0,0.0,0.0,1.0,2.0,112.0,690.0
3211,flat,adani m2k oyster grande,sector 102,2.6,10008.0,2598.0,Super Built up area 2598(241.36 sq.m.),3.0,3.0,3,2.0,North-East,Relatively New,2598.0,,,1.0,1.0,1.0,0.0,0.0,0.0,118.0,866.0
3212,flat,emaar mgf emerald floors premier,sector 65,2.75,13924.0,1975.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4.0,4.0,3,3.0,North-West,Relatively New,1975.0,1750.0,1650.0,1.0,1.0,0.0,0.0,0.0,1.0,113.0,493.75
3213,flat,ashiana anmol,sohna road,0.99,8216.0,1205.0,Super Built up area 1205(111.95 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2.0,2,6.0,East,Under Construction,1205.0,,900.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,602.5
3214,flat,railway officers rpf society,sector 9a,1.3,5039.0,2580.0,Built Up area: 2580 (239.69 sq.m.),4.0,4.0,3+,9.0,East,Undefined,,2580.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0
3215,flat,tashee capital gateway,sector 111,0.96,6500.0,1477.0,Super Built up area 1478(137.31 sq.m.),2.0,2.0,1,4.0,North,Under Construction,1478.0,,,1.0,0.0,0.0,0.0,0.0,0.0,53.0,738.5
3216,house,independent,sector 56,7.5,23148.0,3240.0,Plot area 360(301.01 sq.m.),8.0,8.0,3+,3.0,North-East,Relatively New,,3240.0,,1.0,1.0,0.0,1.0,0.0,2.0,42.0,405.0
3217,flat,suncity vatsal valley,gwal pahari,1.53,10699.0,1430.0,Carpet area: 1430 (132.85 sq.m.),3.0,3.0,3,2.0,North-East,New Property,,,1430.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,476.6666666666667
3218,flat,signature global solera,sector 107,0.37,6752.0,548.0,Super Built up area 548(50.91 sq.m.),2.0,2.0,1,10.0,South,Relatively New,548.0,,,0.0,0.0,0.0,0.0,0.0,0.0,73.0,274.0
3219,house,international city by sobha phase 1,sector 109,6.1,25103.0,2430.0,Plot area 270(225.75 sq.m.),5.0,6.0,3+,2.0,,Moderately Old,,2430.0,,0.0,1.0,0.0,0.0,0.0,0.0,30.0,486.0
3220,flat,chintamani,sector 103,1.57,8509.0,1845.0,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3.0,3.0,3,1.0,North-East,Undefined,,1845.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0
3221,flat,dlf new town heights,sector 90,1.25,6477.0,1930.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,3.0,3+,17.0,South-East,Relatively New,1930.0,1700.0,1500.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,643.3333333333334
3222,flat,bestech park view sanskruti,sector 92,1.5,7812.0,1920.0,Super Built up area 1920(178.37 sq.m.),3.0,3.0,3,3.0,East,Relatively New,1920.0,,,0.0,0.0,0.0,0.0,1.0,0.0,49.0,640.0
3223,flat,tulip violet,sector 69,1.55,9823.0,1578.0,Super Built up area 1578(146.6 sq.m.),3.0,3.0,2,5.0,North-East,Relatively New,1578.0,,,0.0,0.0,0.0,1.0,0.0,0.0,99.0,526.0
3224,flat,raheja vedaanta,sector 108,0.7,4667.0,1500.0,Built Up area: 1468 (136.38 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2.0,2.0,1,10.0,West,Moderately Old,,1468.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0
3225,house,independent,sector 28,4.5,13889.0,3240.0,Built Up area: 360 (33.45 sq.m.),4.0,4.0,0,4.0,,Undefined,,360.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0
3226,flat,ambience lagoon,sector 24,4.25,13281.0,3200.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3156 sq.ft. (293.2 sq.m.),3.0,4.0,3+,3.0,North-East,Old Property,3200.0,,3156.0,0.0,1.0,0.0,1.0,0.0,1.0,143.0,1066.6666666666667
3227,flat,emaar mgf emerald floors,sector 65,3.2,10159.0,3150.0,Built Up area: 3150 (292.64 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4.0,3.0,2,1.0,,Relatively New,,3150.0,1750.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,787.5
